6,step_time,reward,total_stopped,total_wait_time,wait_time_per_lane,average_speed (flow),pressure,lanes_out_density,lanes_density,lanes_queue,total_queued
,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
run1,50004.5,-0.00045289094218115705,28.204640907181858,1885.7383102337953,1885.7383102337953,7.075149426019647,36.30834383312334,0.37835433291334175,0.735107097858043,0.28204640907181855,28.204640907181858
run2,50004.5,-0.001567268654626911,24.26732465350693,1115.1507419851603,1115.1507419851603,7.452750891005081,31.329098418031638,0.37831128377432455,0.6825682486350274,0.2426732465350693,24.26732465350693
run3,50004.5,-0.0006086378272434592,26.65137197256055,1252.2591348173037,1252.2591348173037,7.156144054023916,34.150916981660366,0.37877362452750946,0.7102498950021,0.2665137197256055,26.65137197256055
