6,5,step_time,reward,total_stopped,total_wait_time,wait_time_per_lane,average_speed (flow),pressure,lanes_out_density,lanes_density,lanes_queue,total_queued
,,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean
run1,conn1,50004.5,-0.0006376872462550766,27.486910261794765,1743.3841523169538,1743.3841523169538,7.118233775182635,35.37582248355033,0.37847963040739185,0.7257881842363153,0.27486910261794767,27.486910261794765
run1,conn2,50004.5,-0.0002680946381072377,28.922371552568947,2028.092468150637,2028.092468150637,7.032065076856658,37.240865182696346,0.37822903541929165,0.7444260114797705,0.2892237155256895,28.922371552568947
run2,conn1,50004.5,-0.002802743945121101,24.024779504409913,1089.7816043679127,1089.7816043679127,7.481454918084482,30.937841243175136,0.37816883662326756,0.6789864202715947,0.24024779504409913,24.024779504409913
run2,conn2,50004.5,-0.00033179336413272114,24.509869802603948,1140.5198796024079,1140.5198796024079,7.424046863925681,31.720355592888144,0.3784537309253815,0.6861500769984602,0.24509869802603948,24.509869802603948
run3,conn1,50004.5,-0.00042629147417051934,26.72077558448831,1266.970180596388,1266.970180596388,7.156321896541781,34.296514069718604,0.3790137197256055,0.7111542769144618,0.2672077558448831,26.72077558448831
run3,conn2,50004.5,-0.0007909841803163989,26.581968360632786,1237.5480890382191,1237.5480890382191,7.15596621150605,34.00531989360213,0.3785335293294134,0.7093455130897383,0.26581968360632785,26.581968360632786
